datetime,competition,match,FT result,h2hmatches,h2hgoals,h2h goals/match,total goals,to bet,btts,goalsFest,,,,
13-08-2018 14:00,England >  Premier League 2 Div. 2 2018/2019,West Bromwich Albion U23 - Newcastle United U23,1:1 (1:0),19,70,"3,68","2,00",TRUE,TRUE,FALSE,,,10,-10
16-08-2018 16:30,UEFA >   Europa League Qual. 2018/2019 > 3. Round,AEK Larnaca - Sturm Graz,5:0 (1:0),2,7,"3,50","5,00",TRUE,FALSE,FALSE,,,20,-20
16-08-2018 18:30,UEFA >   Europa League Qual. 2018/2019 > 3. Round,FC Luzern - Olympiakos Piraeus,1:3 (0:1),2,8,"4,00","4,00",TRUE,TRUE,TRUE,,,30,"26,1"
16-08-2018 19:30,UEFA >   Europa League Qual. 2018/2019 > 3. Round,Partizan - FC Nordsjælland,3:2 (3:1),4,14,"3,50","5,00",TRUE,TRUE,TRUE,,,20,"17,4"
17-08-2018 19:00,England >  Premier League 2 2018/2019,Liverpool FC U23 - Tottenham Hotspur U23,1:1 (1:1),22,90,"4,09","2,00",TRUE,TRUE,FALSE,,,10,-10
17-08-2018 19:00,England >  Premier League 2 Div. 2 2018/2019,Manchester United U23 - Aston Villa U23,3:1 (1:1),6,21,"3,50","4,00",TRUE,TRUE,TRUE,,,20,"17,4"
18-08-2018 19:00,Belgium >  Pro League 2018/2019,Cercle Brugge - SV Zulte Waregem,3:1 (1:0),38,136,"3,58","4,00",TRUE,TRUE,TRUE,,,10,"8,7"
19-08-2018 13:30,Netherlands >  Eredivisie 2018/2019,Feyenoord - SBV Excelsior,3:0 (1:0),57,214,"3,75","3,00",TRUE,FALSE,FALSE,,,10,-10
19-08-2018 13:30,Netherlands >  Eredivisie 2018/2019,FC Emmen - AZ Alkmaar,1:4 (1:3),13,46,"3,54","5,00",TRUE,TRUE,TRUE,,,20,"17,4"
19-08-2018 13:45,Denmark >  1. Division 2018/2019,FC Roskilde - Silkeborg IF,0:1 (0:1),9,34,"3,78","1,00",TRUE,FALSE,FALSE,,,10,-10
19-08-2018 16:00,Austria >  Bundesliga 2018/2019,Austria Wien - FC Admira Wacker,4:0 (2:0),280,1036,"3,70","4,00",TRUE,FALSE,FALSE,,,20,-20
20-08-2018 14:00,England >  Premier League 2 Div. 2 2018/2019,Norwich City U23 - Reading FC U23,3:2 (1:2),18,64,"3,56","5,00",TRUE,TRUE,TRUE,,,30,"26,1"
20-08-2018 19:00,England >  Premier League 2 2018/2019,Arsenal FC U23 - Brighton & Hove Albion U23,1:1 (0:0),16,58,"3,63","2,00",TRUE,TRUE,FALSE,,,20,-20
20-08-2018 19:00,England >  Premier League 2 2018/2019,Swansea City U23 - Derby County U23,1:1 (1:0),6,27,"4,50","2,00",TRUE,TRUE,FALSE,,,30,-30
20-08-2018 19:00,Netherlands >  Eerste Divisie 2018/2019,AZ Alkmaar (J) - Almere City FC,2:3 (0:3),14,53,"3,79","5,00",TRUE,TRUE,TRUE,,,40,"34,8"
24-08-2018 19:00,Netherlands >  Eerste Divisie 2018/2019,Jong Ajax - FC Dordrecht,5:2 (2:1),23,84,"3,65","7,00",TRUE,TRUE,TRUE,,,30,"26,1"
25-08-2018 17:30,Netherlands >  Eredivisie 2018/2019,AFC Ajax - FC Emmen,5:0 (2:0),7,36,"5,14","5,00",TRUE,FALSE,FALSE,,,20,-20
26-08-2018 15:00,Denmark >  Superliga 2018/2019,Vendsyssel FF - Brøndby IF,1:2 (0:1),4,15,"3,75","3,00",TRUE,TRUE,TRUE,,,30,"26,1"
27-08-2018 14:00,England >  Premier League 2 Div. 2 2018/2019,West Bromwich Albion U23 - Norwich City U23,0:4 (0:3),18,70,"3,89","4,00",TRUE,FALSE,FALSE,,,20,-20
27-08-2018 19:45,Turkey >  SüperLig 2018/2019,Galatasaray - Alanyaspor,6:0 (1:0),22,77,"3,50","6,00",TRUE,FALSE,FALSE,,,30,-30
28-08-2018 19:30,FIFA >   Friendlies Clubs 2018 > Week,Bayern München - Chicago Fire,4:0 (2:0),1,4,"4,00","4,00",TRUE,FALSE,FALSE,,,40,-40
31-08-2018 18:10,Austria >  2. Liga 2018/2019,Kapfenberger SV 1919 - WSG Wattens,2:2 (2:0),11,40,"3,64","4,00",TRUE,TRUE,TRUE,,,50,"43,5"
31-08-2018 19:00,England >  Premier League 2 Div. 2 2018/2019,Manchester United U23 - Stoke City U23,1:0 (1:0),9,34,"3,78","1,00",TRUE,FALSE,FALSE,,,40,-40
31-08-2018 19:00,Netherlands >  Eerste Divisie 2018/2019,FC Volendam - AZ Alkmaar (J),1:1 (1:0),13,48,"3,69","2,00",TRUE,TRUE,FALSE,,,50,-50
01-09-2018 00:00,Peru >  Primera División 2018 Clausura,Comerciantes Unidos - Ayacucho FC,0:3 dec.,12,45,"3,75","3,00",TRUE,FALSE,FALSE,,,60,-60
01-09-2018 12:00,England >  Premier League 2 Div. 2 2018/2019,Newcastle United U23 - Reading FC U23,2:4 (2:4),17,70,"4,12","6,00",TRUE,TRUE,TRUE,,,70,"60,9"
02-09-2018 13:30,Netherlands >  Eredivisie 2018/2019,Vitesse - AFC Ajax,0:4 (0:3),87,315,"3,62","4,00",TRUE,FALSE,FALSE,,,60,-60
02-09-2018 14:30,Germany >  Bundesliga 2018/2019,RB Leipzig - Fortuna Düsseldorf,1:1 (0:0),8,28,"3,50","2,00",TRUE,TRUE,FALSE,,,70,-70
10-09-2018 19:00,Netherlands >  Eerste Divisie 2018/2019,AZ Alkmaar (J) - Jong Ajax,0:1 (0:1),16,57,"3,56","1,00",TRUE,FALSE,FALSE,,,80,-80
14-09-2018 19:00,England >  Premier League 2 Div. 2 2018/2019,Aston Villa U23 - Stoke City U23,0:3 (0:0),21,77,"3,67","3,00",TRUE,FALSE,FALSE,,,90,-90
14-09-2018 19:00,England >  Premier League 2 Div. 2 2018/2019,Fulham FC U23 - Wolverhampton Wanderers U23,1:0 (1:0),18,66,"3,67","1,00",TRUE,FALSE,FALSE,,,100,-100
14-09-2018 19:00,England >  Premier League 2 Div. 2 2018/2019,Newcastle United U23 - Southampton FC U23,0:1 (0:1),13,62,"4,77","1,00",TRUE,FALSE,FALSE,,,110,-110
14-09-2018 19:00,Netherlands >  Eerste Divisie 2018/2019,NEC Nijmegen - Jong PSV,4:4 (2:2),9,32,"3,56","8,00",TRUE,TRUE,TRUE,,,120,"104,4"
15-09-2018 01:00,Bolivia >  Liga Profesional 2018 Clausura,Sport Boys Warnes - The Strongest,2:2 (0:1),26,94,"3,62","4,00",TRUE,TRUE,TRUE,,,110,"95,7"
15-09-2018 15:00,England >  Premier League 2018/2019,Manchester City - Fulham FC,3:0 (2:0),73,269,"3,68","3,00",TRUE,FALSE,FALSE,,,100,-100
16-09-2018 13:30,Netherlands >  Eredivisie 2018/2019,FC Utrecht - FC Emmen,1:2 (1:0),9,33,"3,67","3,00",TRUE,TRUE,TRUE,,,110,"95,7"
18-09-2018 15:00,UEFA >  Youth Youth League 2018/2019 > Group C,Liverpool FC - Paris Saint-Germain,5:2 (3:0),2,12,"6,00","7,00",TRUE,TRUE,TRUE,,,100,87
19-09-2018 13:00,UEFA >  Youth Youth League 2018/2019 > Group E,SL Benfica - Bayern München,3:0 (2:0),5,19,"3,80","3,00",TRUE,FALSE,FALSE,,,90,-90
19-09-2018 13:00,UEFA >  Youth Youth League 2018/2019 > Group F,Manchester City - Olympique Lyonnais,1:4 (0:2),2,7,"3,50","5,00",TRUE,TRUE,TRUE,,,100,87
19-09-2018 17:55,UEFA >   Champions League 2018/2019 > Group F,Shakhtar Donetsk - 1899 Hoffenheim,2:2 (1:2),2,9,"4,50","4,00",TRUE,TRUE,TRUE,,,90,"78,3"
19-09-2018 20:00,UEFA >   Champions League 2018/2019 > Group F,Manchester City - Olympique Lyonnais,1:2 (0:2),3,11,"3,67","3,00",TRUE,TRUE,TRUE,,,80,"69,6"
20-09-2018 04:00,USA >  Major League Soccer 2018,San Jose Earthquakes - Atlanta United FC,3:4 (2:1),4,20,"5,00","7,00",TRUE,TRUE,TRUE,,,70,"60,9"
20-09-2018 20:00,UEFA >   Europa League 2018/2019 > Group A,PFC Ludogorets Razgrad - Bayer Leverkusen,2:3 (2:1),2,7,"3,50","5,00",TRUE,TRUE,TRUE,,,60,"52,2"
20-09-2018 20:00,Bolivia >  Liga Profesional 2018 Clausura,CD Guabirá - Bolívar,2:0 (0:0),39,141,"3,62","2,00",TRUE,FALSE,FALSE,,,50,-50
21-09-2018 14:00,England >  Premier League 2 Div. 2 2018/2019,Norwich City U23 - Newcastle United U23,2:1 (1:1),16,65,"4,06","3,00",TRUE,TRUE,TRUE,,,60,"52,2"
21-09-2018 19:00,England >  Premier League 2 Div. 2 2018/2019,Southampton FC U23 - Aston Villa U23,0:1 (0:0),13,48,"3,69","1,00",TRUE,FALSE,FALSE,,,50,-50
21-09-2018 19:00,Netherlands >  Eerste Divisie 2018/2019,Go Ahead Eagles - Jong Ajax,2:1 (1:1),11,41,"3,73","3,00",TRUE,TRUE,TRUE,,,60,"52,2"
22-09-2018 12:35,China >  Super League 2018,Shanghai SIPG - Changchun Yatai,3:1 (2:1),21,76,"3,62","4,00",TRUE,TRUE,TRUE,,,50,"43,5"
23-09-2018 00:00,USA >  Major League Soccer 2018,Atlanta United FC - Real Salt Lake,2:0 (1:0),5,19,"3,80","2,00",TRUE,FALSE,FALSE,,,40,-40
23-09-2018 12:30,Germany >  2. Bundesliga 2018/2019,Hamburger SV - Jahn Regensburg,0:5 (0:3),11,47,"4,27","5,00",TRUE,FALSE,FALSE,,,50,-50
26-09-2018 18:00,France >  Ligue 1 2018/2019,Dijon FCO - Olympique Lyonnais,0:3 (0:3),11,45,"4,09","3,00",TRUE,FALSE,FALSE,,,60,-60
28-09-2018 14:00,England >  Premier League 2 Div. 2 2018/2019,Norwich City U23 - Manchester United U23,0:1 (0:0),11,41,"3,73","1,00",TRUE,FALSE,FALSE,,,70,-70
29-09-2018 12:00,England >  Premier League 2 2018/2019,Chelsea FC U23 - Liverpool FC U23,1:3 (0:2),22,84,"3,82","4,00",TRUE,TRUE,TRUE,,,80,"69,6"
29-09-2018 13:00,England >  Premier League 2 Div. 2 2018/2019,Reading FC U23 - Southampton FC U23,2:0 (0:0),12,45,"3,75","2,00",TRUE,FALSE,FALSE,,,70,-70
29-09-2018 19:45,Netherlands >  Eredivisie 2018/2019,Fortuna Sittard - AFC Ajax,0:2 (0:0),54,191,"3,54","2,00",TRUE,FALSE,FALSE,,,80,-80
01-10-2018 19:00,England >  Premier League 2 Div. 2 2018/2019,West Bromwich Albion U23 - Stoke City U23,3:2 (1:0),19,67,"3,53","5,00",TRUE,TRUE,TRUE,,,90,"78,3"
02-10-2018 13:00,UEFA >  Youth Youth League 2018/2019 > Group E,Bayern München - AFC Ajax,2:2 (0:1),2,7,"3,50","4,00",TRUE,TRUE,TRUE,,,80,"69,6"
02-10-2018 13:00,UEFA >  Youth Youth League 2018/2019 > Group F,1899 Hoffenheim - Manchester City,5:2 (2:1),2,10,"5,00","7,00",TRUE,TRUE,TRUE,,,70,"60,9"
02-10-2018 20:00,UEFA >   Champions League 2018/2019 > Group E,Bayern München - AFC Ajax,1:1 (1:1),11,43,"3,91","2,00",TRUE,TRUE,FALSE,,,60,-60
03-10-2018 20:00,UEFA >   Champions League 2018/2019 > Group A,Borussia Dortmund - AS Monaco,3:0 (0:0),4,14,"3,50","3,00",TRUE,FALSE,FALSE,,,70,-70
04-10-2018 17:55,UEFA >   Europa League 2018/2019 > Group A,Bayer Leverkusen - AEK Larnaca,4:2 (1:1),2,12,"6,00","6,00",TRUE,TRUE,TRUE,,,80,"69,6"
05-10-2018 19:00,Netherlands >  Eerste Divisie 2018/2019,Roda JC Kerkrade - Jong PSV,2:3 (2:1),16,59,"3,69","5,00",TRUE,TRUE,TRUE,,,70,"60,9"
06-10-2018 18:00,Switzerland >  Super League 2018/2019,BSC Young Boys - FC Luzern,2:3 (0:1),175,615,"3,51","5,00",TRUE,TRUE,TRUE,,,60,"52,2"
07-10-2018 00:30,USA >  Major League Soccer 2018,Philadelphia Union - Minnesota United FC,5:1 (4:0),7,28,"4,00","6,00",TRUE,TRUE,TRUE,,,50,"43,5"
19-10-2018 19:00,England >  Premier League 2 Div. 2 2018/2019,Middlesbrough FC U23 - Reading FC U23,2:3 (1:0),18,71,"3,94","5,00",TRUE,TRUE,TRUE,,,40,"34,8"
19-10-2018 19:00,Netherlands >  Eerste Divisie 2018/2019,FC Eindhoven - FC Volendam,1:1 (1:0),48,173,"3,60","2,00",TRUE,TRUE,FALSE,,,30,-30
19-10-2018 19:30,Belgium >  Pro League 2018/2019,Club Brugge KV - Waasland-Beveren,1:1 (0:0),18,63,"3,50","2,00",TRUE,TRUE,FALSE,,,40,-40
