datetime,competition,match,FT result,h2hmatches,h2hgoals,h2h goals/match,total goals,to bet,btts,goalsFest
03-07-2015 18:00,Norway >  Eliteserien 2015,Sarpsborg 08 - Molde FK,1:4 (0:2),31,110,"3,55","5,00",TRUE,TRUE,TRUE
04-07-2015 09:00,FIFA >   Friendlies Clubs 2015 > Week,Vitesse - KV Oostende,2:2,2,6,"3,00","4,00",FALSE,TRUE,TRUE
04-07-2015 12:35,China >  Super League 2015,Shandong Taishan - Liáoníng Hóngyùn,2:0 (1:0),40,119,"2,98","2,00",FALSE,FALSE,FALSE
04-07-2015 14:30,Norway >  Eliteserien 2015,IK Start - Stabæk IF,4:1 (2:0),33,121,"3,67","5,00",TRUE,TRUE,TRUE
04-07-2015 17:00,Norway >  Eliteserien 2015,FK Haugesund - Lillestrøm SK,3:3 (2:1),35,88,"2,51","6,00",FALSE,TRUE,TRUE
04-07-2015 15:00,Sweden >  Allsvenskan 2015,Djurgårdens IF - Örebro SK,2:0 (2:0),95,260,"2,74","2,00",FALSE,FALSE,FALSE
04-07-2015 15:00,Sweden >  Allsvenskan 2015,Åtvidabergs FF - Halmstads BK,0:0 (0:0),28,58,"2,07","0,00",FALSE,FALSE,FALSE
04-07-2015 17:00,Sweden >  Allsvenskan 2015,IFK Norrköping - Malmö FF,3:1 (2:1),164,477,"2,91","4,00",FALSE,TRUE,TRUE
05-07-2015 17:00,Norway >  Eliteserien 2015,Odds BK - Vålerenga IF,1:2 (0:1),65,204,"3,14","3,00",FALSE,TRUE,TRUE
05-07-2015 19:00,Norway >  Eliteserien 2015,FK Bodø/Glimt - Rosenborg BK,1:0 (1:0),57,199,"3,49","1,00",FALSE,FALSE,FALSE
05-07-2015 16:30,Sweden >  Allsvenskan 2015,Kalmar FF - AIK Solna,0:0 (0:0),72,174,"2,42","0,00",FALSE,FALSE,FALSE
05-07-2015 16:30,Sweden >  Allsvenskan 2015,BK Häcken - Helsingborgs IF,3:2 (1:1),38,118,"3,11","5,00",FALSE,TRUE,TRUE
05-07-2015 00:30,USA >  Major League Soccer 2015,Columbus Crew - New York RB,2:1 (1:1),90,247,"2,74","3,00",FALSE,TRUE,TRUE
05-07-2015 03:30,USA >  Major League Soccer 2015,Los Angeles Galaxy - Toronto FC,4:0 (2:0),21,62,"2,95","4,00",FALSE,FALSE,FALSE
09-07-2015 00:00,Chile >  Copa Chile 2015 > Group G,Huachipato - Colo-Colo,1:0,nan,nan,#VALUE!,"1,00",#VALUE!,FALSE,FALSE
10-07-2015 18:30,FIFA >   Friendlies Clubs 2015 > Week,Vitesse - Dundee United,4:0,3,9,"3,00","4,00",FALSE,FALSE,FALSE
10-07-2015 18:00,Norway >  Eliteserien 2015,Molde FK - FK Haugesund,0:1 (0:1),39,115,"2,95","1,00",FALSE,FALSE,FALSE
11-07-2015 12:00,China >  Super League 2015,Changchun Yatai - Guangzhou Evergrande,0:2 (0:2),38,108,"2,84","2,00",FALSE,FALSE,FALSE
11-07-2015 12:45,China >  Super League 2015,Jiangsu Sainty - Shandong Taishan,2:3 (1:1),32,83,"2,59","5,00",FALSE,TRUE,TRUE
11-07-2015 15:00,Sweden >  Allsvenskan 2015,Malmö FF - Örebro SK,2:2 (1:2),107,298,"2,79","4,00",FALSE,TRUE,TRUE
11-07-2015 15:00,Sweden >  Allsvenskan 2015,Halmstads BK - Kalmar FF,1:0 (0:0),56,133,"2,38","1,00",FALSE,FALSE,FALSE
12-07-2015 15:00,FIFA >   Friendlies Clubs 2015 > Week,Fortuna Düsseldorf - Feyenoord,0:2,1,2,"2,00","2,00",FALSE,FALSE,FALSE
12-07-2015 20:00,Chile >  Copa Chile 2015 > Group F,O'Higgins - Universidad de Chile,2:3,nan,nan,#VALUE!,"5,00",#VALUE!,TRUE,TRUE
12-07-2015 18:00,Croatia >  1. HNL 2015/2016,Dinamo Zagreb - Hajduk Split,1:1 (1:1),219,534,"2,44","2,00",FALSE,TRUE,FALSE
12-07-2015 14:30,Norway >  Eliteserien 2015,Stabæk IF - Sarpsborg 08,0:0 (0:0),21,66,"3,14","0,00",FALSE,FALSE,FALSE
12-07-2015 17:00,Norway >  Eliteserien 2015,Rosenborg BK - Odds BK,3:0 (1:0),56,178,"3,18","3,00",FALSE,FALSE,FALSE
12-07-2015 19:00,Norway >  Eliteserien 2015,Lillestrøm SK - Strømsgodset IF,1:2 (0:0),56,204,"3,64","3,00",TRUE,TRUE,TRUE
12-07-2015 00:00,USA >  Major League Soccer 2015,New York RB - New England Revolution,4:1 (3:1),92,290,"3,15","5,00",FALSE,TRUE,TRUE
12-07-2015 01:00,USA >  Major League Soccer 2015,Impact de Montréal - Columbus Crew,3:0 (2:0),31,93,"3,00","3,00",FALSE,FALSE,FALSE
13-07-2015 18:05,Sweden >  Allsvenskan 2015,Helsingborgs IF - Djurgårdens IF,0:1 (0:0),90,316,"3,51","1,00",TRUE,FALSE,FALSE
14-07-2015 18:00,FIFA >   Friendlies Clubs 2015 > Week,AZ Alkmaar - Dundee United,3:1,3,12,"4,00","4,00",TRUE,TRUE,TRUE
14-07-2015 19:00,UEFA >   Champions League Qual. 2015/2016 > 2. Round,Molde FK - Pyunik FC,5:0 (2:0),2,6,"3,00","5,00",FALSE,FALSE,FALSE
15-07-2015 12:00,China >  Super League 2015,Changchun Yatai - Liáoníng Hóngyùn,2:1 (1:0),32,81,"2,53","3,00",FALSE,TRUE,TRUE
15-07-2015 11:00,Japan >  J1 League 2015 2. Phase,Kashima Antlers - Shimizu S-Pulse,0:0 (0:0),70,206,"2,94","0,00",FALSE,FALSE,FALSE
16-07-2015 00:00,FIFA >   Friendlies Clubs 2015 > Week,FC Utrecht - Dundee United,4:0,1,4,"4,00","4,00",TRUE,FALSE,FALSE
16-07-2015 18:00,UEFA >   Europa League Qual. 2015/2016 > 2. Round,AIK Solna - Shirak FC,2:0 (1:0),2,4,"2,00","2,00",FALSE,FALSE,FALSE
17-07-2015 18:30,FIFA >   Friendlies Clubs 2015 > Week,Vitesse - Çaykur Rizespor,1:0,1,1,"1,00","1,00",FALSE,FALSE,FALSE
18-07-2015 00:00,FIFA >   Friendlies Clubs 2015 > Week,SC Cambuur - De Graafschap,2:3,31,87,"2,81","5,00",FALSE,TRUE,TRUE
18-07-2015 14:00,FIFA >   Friendlies Clubs 2015 > Week,Achilles'29 - FC Twente,0:3,2,7,"3,50","3,00",TRUE,FALSE,FALSE
18-07-2015 15:00,FIFA >   Friendlies Clubs 2015 > Week,AZ Alkmaar - Telstar,3:0,31,75,"2,42","3,00",FALSE,FALSE,FALSE
18-07-2015 22:30,Argentina >  Primera División 2015,Atlético Rafaela - River Plate,1:5 (1:2),9,20,"2,22","6,00",FALSE,TRUE,TRUE
18-07-2015 12:35,China >  Super League 2015,Liáoníng Hóngyùn - Guangzhou Evergrande,1:3 (0:1),22,80,"3,64","4,00",TRUE,TRUE,TRUE
18-07-2015 17:00,Norway >  Eliteserien 2015,Molde FK - FK Bodø/Glimt,1:2 (1:2),59,210,"3,56","3,00",TRUE,TRUE,TRUE
18-07-2015 15:00,Sweden >  Allsvenskan 2015,Kalmar FF - Falkenbergs FF,4:0 (2:0),10,29,"2,90","4,00",FALSE,FALSE,FALSE
18-07-2015 15:00,Sweden >  Allsvenskan 2015,Örebro SK - Malmö FF,1:1 (0:0),107,298,"2,79","2,00",FALSE,TRUE,FALSE
19-07-2015 22:30,Chile >  Copa Chile 2015 > Group F,Universidad de Chile - O'Higgins,2:2,nan,nan,#VALUE!,"4,00",#VALUE!,TRUE,TRUE
19-07-2015 12:45,China >  Super League 2015,Jiangsu Sainty - Changchun Yatai,1:1 (1:0),26,49,"1,88","2,00",FALSE,TRUE,FALSE
19-07-2015 20:00,Paraguay >  Primera División 2015 Clausura,Deportivo Santaní - Deportivo Capiatá,3:0 (0:0),12,35,"2,92","3,00",FALSE,FALSE,FALSE
19-07-2015 16:30,Sweden >  Allsvenskan 2015,Helsingborgs IF - AIK Solna,3:1 (1:0),135,464,"3,44","4,00",FALSE,TRUE,TRUE
19-07-2015 01:30,USA >  Major League Soccer 2015,Sporting Kansas City - Impact de Montréal,2:1 (2:0),16,46,"2,88","3,00",FALSE,TRUE,TRUE
20-07-2015 18:00,Sweden >  Allsvenskan 2015,Djurgårdens IF - Åtvidabergs FF,0:0 (0:0),40,109,"2,73","0,00",FALSE,FALSE,FALSE
21-07-2015 00:00,FIFA >   Friendlies Clubs 2016 > Week,PEC Zwolle - Mersin Idmanyurdu,5:1,nan,nan,#VALUE!,"6,00",#VALUE!,TRUE,TRUE
