datetime,competition,match,FT result,h2hmatches,h2hgoals,h2h goals/match,total goals,to bet,btts,goalsFest
02-07-2022 12:00,FIFA >   Friendlies Clubs 2022 > Week,AFC Ajax - SC Paderborn 07,2:5 (2:1),2,12,"6,00","7,00",TRUE,TRUE,TRUE
02-07-2022 13:00,FIFA >   Friendlies Clubs 2022 > Week,FC Dordrecht - KV Kortrijk,4:2 (3:1),1,6,"6,00","6,00",TRUE,TRUE,TRUE
02-07-2022 13:00,FIFA >   Friendlies Clubs 2022 > Week,RSC Anderlecht - Roda JC Kerkrade,6:0 (2:0),3,14,"4,67","6,00",TRUE,FALSE,FALSE
02-07-2022 13:30,FIFA >   Friendlies Clubs 2022 > Week,RKC Waalwijk - TOP Oss,5:3 (3:2),18,65,"3,61","8,00",TRUE,TRUE,TRUE
02-07-2022 14:00,FIFA >   Friendlies Clubs 2022 > Week,Sturm Graz - FC Liefering,0:0,nan,nan,#VALUE!,"0,00",#VALUE!,FALSE,FALSE
02-07-2022 14:00,FIFA >   Friendlies Clubs 2022 > Week,PSV Eindhoven - Cercle Brugge,2:2 (1:0),1,4,"4,00","4,00",TRUE,TRUE,TRUE
02-07-2022 14:30,FIFA >   Friendlies Clubs 2022 > Week,Wolfsberger AC - Holstein Kiel,0:1,1,1,"1,00","1,00",FALSE,FALSE,FALSE
02-07-2022 15:00,FIFA >   Friendlies Clubs 2022 > Week,Austria Lustenau - FC St. Gallen,0:4 (0:0),nan,nan,#VALUE!,"4,00",#VALUE!,FALSE,FALSE
02-07-2022 17:00,FIFA >   Friendlies Clubs 2022 > Week,Oud-Heverlee Leuven - Sporting Charleroi,3:1,nan,nan,#VALUE!,"4,00",#VALUE!,TRUE,TRUE
03-07-2022 12:30,China >  Super League 2022,Shandong Taishan - Guangzhou City,2:0 (2:0),52,162,"3,12","2,00",FALSE,FALSE,FALSE
03-07-2022 14:00,FIFA >   Friendlies Clubs 2022 > Week,WSG Tirol - 1. FC Nürnberg,2:0 (2:0),nan,nan,#VALUE!,"2,00",#VALUE!,FALSE,FALSE
03-07-2022 14:00,Belarus >  Cempionat 2022,FK Vitebsk - Dinamo Brest,0:1 (0:0),59,146,"2,47","1,00",FALSE,FALSE,FALSE
03-07-2022 14:30,FIFA >   Friendlies Clubs 2022 > Week,Werder Bremen - Karlsruher SC,2:1 (0:1),51,158,"3,10","3,00",FALSE,TRUE,TRUE
03-07-2022 17:00,Norway >  Eliteserien 2022,Kristiansund BK - Lillestrøm SK,1:3 (1:0),12,31,"2,58","4,00",FALSE,TRUE,TRUE
